ics_title,ics_description,facility_title,facility_description,standard_title,standard_description,standard_stage,standard_details.abstract,standard_details.Status,standard_details.Publication_date,standard_details.Edition,standard_details.Number_of_pages,standard_details.Technical_Committee,standard_details.ICS,standard_details.preview_doc,standard_details.Corrected_version_(en),standard_details.Corrected_version_(fr)
11.020,"Medical sciences and health care facilities in generalForensic science, see 07.140",11.020.01,Quality and environmental management in health careIncluding quality and environmental management in health care technology,ISO/IEC Guide 63:2012,Guide to the development and inclusion of safety aspects in International Standards for medical devices,95.99,"ISO/IEC Guide 63:2012 provides guidance to standards writers on how to include safety aspects in the development of medical device safety standards intended to be used within the risk management framework established in ISO 14971. It expands on the concepts developed in ISO/IEC Guide 51 to include safety-related performance and usability.
ISO/IEC Guide 63:2012 is intended to be read in conjunction with ISO/IEC Guide 51 and ISO 14971.",Withdrawn,2012-01,2,21,ISO/TMBG Technical Management Board - groups,11.020.01:Quality and environmental management in health care,,,
11.020,"Medical sciences and health care facilities in generalForensic science, see 07.140",11.020.01,Quality and environmental management in health careIncluding quality and environmental management in health care technology,ISO 5258:2022,Healthcare organization management — Pandemic response (respiratory) — Drive-through screening station,60.60,"This document specifies the operation of a drive-through screening station (DTSS) for mass testing as part of pandemic response management.
NOTE       COVID-19 is an exemplary disease for which such a station is developed.",Published,2022-02,1,13,ISO/TC 304 Healthcare organization management,11.020.01:Quality and environmental management in health care,https://www.iso.org/obp/ui/#!iso:std:81087:en,,
11.020,"Medical sciences and health care facilities in generalForensic science, see 07.140",11.020.01,Quality and environmental management in health careIncluding quality and environmental management in health care technology,ISO 5472:2022,Healthcare organization management — Pandemic response (respiratory) — Walk-through screening station,60.60,"This document specifies the operation of a walk-through screening station (WTSS) for mass testing as part of pandemic response management.
NOTE      COVID-19 is an exemplary disease for which such a station is developed.",Published,2022-08,1,15,ISO/TC 304 Healthcare organization management,11.020.01:Quality and environmental management in health care,https://www.iso.org/obp/ui/#!iso:std:81288:en,,
11.020,"Medical sciences and health care facilities in generalForensic science, see 07.140",11.020.01,Quality and environmental management in health careIncluding quality and environmental management in health care technology,ISO/FDIS 7101,Healthcare organization management — Management systems for quality in healthcare organizations – Requirements,50.00,,Under development,,1,,ISO/TC 304 Healthcare organization management,03.100.70:Management systems|11.020.01:Quality and environmental management in health care,,,
11.020,"Medical sciences and health care facilities in generalForensic science, see 07.140",11.020.01,Quality and environmental management in health careIncluding quality and environmental management in health care technology,ISO 22886:2020,Healthcare organization management — Vocabulary,60.60,This document defines terms used in healthcare organization management.,Published,2020-08,1,11,ISO/TC 304 Healthcare organization management,01.040.11:Health care technology (Vocabularies)|11.020.01:Quality and environmental management in health care,https://www.iso.org/obp/ui/#!iso:std:74078:en,,
11.020,"Medical sciences and health care facilities in generalForensic science, see 07.140",11.020.01,Quality and environmental management in health careIncluding quality and environmental management in health care technology,ISO 22956:2021,Healthcare organization management — Requirements for patient-centred staffing,60.60,This document provides requirements for patient-centred staffing in healthcare settings. It is generic and applicable to any healthcare organization.,Published,2021-06,1,9,ISO/TC 304 Healthcare organization management,11.020.01:Quality and environmental management in health care,https://www.iso.org/obp/ui/#!iso:std:74246:en,,
11.020,"Medical sciences and health care facilities in generalForensic science, see 07.140",11.020.01,Quality and environmental management in health careIncluding quality and environmental management in health care technology,ISO/FDIS 23447,Healthcare organization management — Hand hygiene performance and compliance,50.00,,Under development,,1,,ISO/TC 304 Healthcare organization management,11.020.01:Quality and environmental management in health care,,,
11.020,"Medical sciences and health care facilities in generalForensic science, see 07.140",11.020.10,"Health care services in generalIncluding care homes, dementia care, assisted living, aesthetic surgery, chiropractic services, etc.",IWA 18:2016,Framework for integrated community-based life-long health and care services in aged societies,95.99,"IWA 18:2016 provides guidelines for addressing challenges faced by societies that have been unable to adapt to an ageing population. It can also be used by stakeholders as a useful reference at regional or global level.
IWA 18:2016 addresses health, care and social challenges (including health care needs, daily living tasks, well-being, combating isolation and keeping safe) to ensure that the needs of individuals continue to be met as they grow older. It also outlines principles related to ethics, community-based solutions, integration, person-centred solutions and innovation.",Withdrawn,2016-06,1,29,ISO/TMBG Technical Management Board - groups,11.020.10:Health care services in general,,,
11.020,"Medical sciences and health care facilities in generalForensic science, see 07.140",11.020.10,"Health care services in generalIncluding care homes, dementia care, assisted living, aesthetic surgery, chiropractic services, etc.",IWA 35:2020,Quality of learning environments for students in healthcare professions — Requirements for healthcare education providers in care settings,60.60,"This document specifies requirements for operational practices in care settings when a provider wishes to demonstrate its ability to consistently provide and improve healthcare education or training that meets the learning requirements of educational organizations.
All the requirements in this document are intended to be applicable to any provider, regardless of its type, size or the healthcare services it offers.",Published,2020-11,1,12,ISO/TMBG Technical Management Board - groups,03.180:Education|11.020.10:Health care services in general,https://www.iso.org/obp/ui/#!iso:std:80863:en,,
11.020,"Medical sciences and health care facilities in generalForensic science, see 07.140",11.020.10,"Health care services in generalIncluding care homes, dementia care, assisted living, aesthetic surgery, chiropractic services, etc.",ISO 5741:2023,Healthcare organization management — Pandemic response — Temporary medical facility,60.60,"This document describes the requirements, operational principles, and procedures of the temporary medical facility (TMF) regarding:
a)       planning;
b)       staffing;
c)        patient management;
d)       discharge and termination of isolation for patients with infectious diseases in the context of ongoing widespread community transmission.",Published,2023-05,1,14,ISO/TC 304 Healthcare organization management,11.020.10:Health care services in general,https://www.iso.org/obp/ui/#!iso:std:81648:en,,
