ics_title,facility_title,standard_title,standard_stage,facility_description,standard_status,is_deleted
11.040,11.040.20,ISO 8362-2:2015,90.92,"Transfusion, infusion and injection equipmentIncluding blood packs and containers for transfusion",Published,False
11.040,11.040.20,ISO/CD 8362-2,30.99,"Transfusion, infusion and injection equipmentIncluding blood packs and containers for transfusion",Under development,False
11.040,11.040.25,ISO/DIS 10555-8,40.00,"Syringes, needles and catheters",Under development,False
11.040,11.040.40,ISO/DIS 8548-3,40.60,"Implants for surgery, prosthetics and orthoticsIncluding pacemakers",Under development,False
11.040,11.040.55,ISO/CD 12487,30.20,"Diagnostic equipmentIncluding medical monitoring equipment, medical thermometers and related materials",Under development,False
11.080,11.080.30,ISO 11607-1:2019/FDAmd 1,50.20,Sterilized packaging,Under development,False
11.080,11.080.30,ISO 11607-2:2019/FDAmd 1,50.20,Sterilized packaging,Under development,False
11.100,11.100.20,ISO/CD 10993-6,30.60,"Biological evaluation of medical devicesMedical microbiology, see 07.100.10",Under development,False
11.120,11.120.10,ISO/DIS 8959,40.99,MedicamentsIncluding medical prescriptions and medicinal herbs,Under development,False
11.120,11.120.10,ISO/DIS 9306,40.99,MedicamentsIncluding medical prescriptions and medicinal herbs,Under development,False
11.080,11.080.30,ISO 11607-1:2019/FDAmd 1,50.00,Sterilized packaging,Under development,True
11.080,11.080.30,ISO 11607-2:2019/FDAmd 1,50.00,Sterilized packaging,Under development,True
11.100,11.100.20,ISO/CD 10993-6,30.20,"Biological evaluation of medical devicesMedical microbiology, see 07.100.10",Under development,True
11.120,11.120.10,ISO/DIS 8959,40.60,MedicamentsIncluding medical prescriptions and medicinal herbs,Under development,True
11.120,11.120.10,ISO/DIS 9306,40.60,MedicamentsIncluding medical prescriptions and medicinal herbs,Under development,True
11.040,11.040.25,ISO/CD 10555-8,30.99,"Syringes, needles and catheters",Under development,True
11.040,11.040.20,ISO 8362-2:2015,90.93,"Transfusion, infusion and injection equipmentIncluding blood packs and containers for transfusion",Published,True
11.040,11.040.40,ISO/DIS 8548-3,40.20,"Implants for surgery, prosthetics and orthoticsIncluding pacemakers",Under development         You can help develop this draft international standard by contacting your national member,True
11.060,11.060.10,ISO/DIS 6872,40.20,Dental materials,Under development You can help develop this draft international standard by contacting your national member,False
11.060,11.060.20,ISO/DIS 15098,40.20,"Dental equipmentDental radiographic films, see 37.040.25",Under development You can help develop this draft international standard by contacting your national member,False
11.080,11.080.01,ISO/DIS 11135,40.20,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Under development You can help develop this draft international standard by contacting your national member,False
11.080,11.080.01,ISO/DIS 11137-1,40.20,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Under development You can help develop this draft international standard by contacting your national member,False
11.080,11.080.10,ISO/DIS 15883-2,40.20,Sterilizing equipment,Under development You can help develop this draft international standard by contacting your national member,False
11.080,11.080.10,ISO/DIS 15883-3,40.20,Sterilizing equipment,Under development You can help develop this draft international standard by contacting your national member,False
11.120,11.120.10,ISO/DIS 6904,40.20,MedicamentsIncluding medical prescriptions and medicinal herbs,Under development You can help develop this draft international standard by contacting your national member,False
11.180,11.180.20,ISO/DIS 16021,40.20,Aids for incontinence and ostomy,Under development You can help develop this draft international standard by contacting your national member,False
11.040,11.040.40,ISO/DIS 7197,40.20,"Implants for surgery, prosthetics and orthoticsIncluding pacemakers",Under development You can help develop this draft international standard by contacting your national member,False
11.040,11.040.10,ISO/DIS 80601-2-79,40.20,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Under development You can help develop this draft international standard by contacting your national member,False
11.040,11.040.10,ISO/DIS 80601-2-80,40.20,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Under development You can help develop this draft international standard by contacting your national member,False
11.040,11.040.10,ISO 81060-2:2018/DAmd 2,40.20,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",Under development You can help develop this draft international standard by contacting your national member,False
11.040,11.040.25,ISO/DIS 6559,40.20,"Syringes, needles and catheters",Under development You can help develop this draft international standard by contacting your national member,False
11.040,11.040.40,ISO/DIS 5910,40.20,"Implants for surgery, prosthetics and orthoticsIncluding pacemakers",Under development You can help develop this draft international standard by contacting your national member,False
11.040,11.040.40,ISO/DIS 8637-1,40.20,"Implants for surgery, prosthetics and orthoticsIncluding pacemakers",Under development You can help develop this draft international standard by contacting your national member,False
11.040,11.040.40,ISO/DIS 8637-3,40.20,"Implants for surgery, prosthetics and orthoticsIncluding pacemakers",Under development You can help develop this draft international standard by contacting your national member,False
11.040,11.040.70,ISO/DIS 7921,40.20,"Ophthalmic equipmentIncluding ophthalmic implants, glasses, contact lenses and their cleaning products",Under development You can help develop this draft international standard by contacting your national member,False
11.040,11.040.30,ISO/DIS 7151,40.20,"Surgical instruments and materialsIncluding surgical dressings, sutures, etc.",Under development You can help develop this draft international standard by contacting your national member,False
11.040,11.040.25,ISO/DIS 11040-4,40.60,"Syringes, needles and catheters",Under development,False
11.040,11.040.25,ISO/DIS 11040-7,40.60,"Syringes, needles and catheters",Under development,False
11.040,11.040.40,ISO/FDIS 8637-2,50.00,"Implants for surgery, prosthetics and orthoticsIncluding pacemakers",Under development,False
11.060,11.060.01,ISO 1942-3:1977,95.99,Dentistry in general,Withdrawn,False
11.060,11.060.01,ISO 1942-4:1976,95.99,Dentistry in general,Withdrawn,False
11.040,11.040.70,ISO/CD TR 11826,30.99,"Ophthalmic equipmentIncluding ophthalmic implants, glasses, contact lenses and their cleaning products",Under development,False
11.040,11.040.99,ISO 11990:1999,95.99,Other medical equipment,Withdrawn,False
11.040,11.040.99,ISO 16061:2000,95.99,Other medical equipment,Withdrawn,False
11.040,11.040.99,ISO 16061:2008,95.99,Other medical equipment,Withdrawn,False
11.040,11.040.99,ISO 16061:2015,95.99,Other medical equipment,Withdrawn,False
11.040,11.040.99,ISO 16061:2021,60.60,Other medical equipment,Published,False
11.040,11.040.99,ISO 18665:2015,95.99,Other medical equipment,Withdrawn,False
11.040,11.040.99,ISO 18665:2022,60.60,Other medical equipment,Published,False
11.040,11.040.99,ISO 18666:2015,95.99,Other medical equipment,Withdrawn,False
11.040,11.040.99,ISO 18666:2021,60.60,Other medical equipment,Published,False
11.040,11.040.99,ISO 18777:2005,90.92,Other medical equipment,Published,False
11.040,11.040.99,ISO 19054:2005,90.93,Other medical equipment,Published,False
11.040,11.040.99,ISO 19054:2005/Amd 1:2016,60.60,Other medical equipment,Published,False
11.040,11.040.99,ISO 19611:2017,90.92,Other medical equipment,Published,False
