ics_title,ics_description,facility_title,facility_description,standard_title,standard_description,standard_details.abstract,standard_details.Status,standard_details.Publication_date,standard_details.Edition,standard_details.Number_of_pages,standard_details.Technical_Committee,standard_details.ICS
11.080,Sterilization and disinfection,11.080.10,Sterilizing equipment,ISO 15883-1:2006,"Washer-disinfectors — Part 1: General requirements, terms and definitions and tests","ISO 15883-1:2006 specifies general performance requirements for washer-disinfectors (WD) and their accessories that are intended to be used for cleaning and disinfection of re-usable medical devices and other articles used in the context of medical, dental, pharmaceutical and veterinary practice. It specifies performance requirements for cleaning and disinfection as well as for the accessories which can be required to achieve the necessary performance. The methods and instrumentation required for validation, routine control and monitoring and re-validation, periodically and after essential repairs, are also specified.
The requirements for washer-disinfectors intended to process specific loads are specified in subsequent parts of ISO 15883. For washer-disinfectors intended to process loads of two or more different types the requirements of all relevant parts of this standard apply.
ISO 15883-1:2006 does not specify requirements intended for machines for use for laundry or general catering purposes.
ISO 15883-1:2006 does not include requirements for machines which are intended to sterilize the load, or which are designated as ""sterilizers"", these are specified in other standards e.g. EN 285.
The specified performance requirements of this standard may not ensure the inactivation or removal of the causative agent(s) (prion protein) of transmissible spongiform encephalopathies.
ISO 15883-1:2006 may be used by prospective purchasers and manufacturers as the basis of agreement on the specification of a WD. The test methods for demonstration of compliance with the requirements of ISO 15883-1:2006 may also be employed by users to demonstrate continued compliance of the installed WD throughout its working life. Guidance on a routine test programme also is given.",Published,2006-04,1,70,ISO/TC 198 Sterilization of health care products,11.080.10 Sterilizing equipment
11.080,Sterilization and disinfection,11.080.10,Sterilizing equipment,ISO 15883-1:2006/Amd 1:2014,"Washer-disinfectors — Part 1: General requirements, terms and definitions and tests — Amendment 1",,Published,2014-07,1,6,ISO/TC 198 Sterilization of health care products,11.080.10 Sterilizing equipment
11.080,Sterilization and disinfection,11.080.10,Sterilizing equipment,ISO/FDIS 15883-1,"Washer-disinfectors — Part 1: General requirements, terms and definitions and tests",,Under development,,2,,ISO/TC 198 Sterilization of health care products,11.080.10 Sterilizing equipment
11.080,Sterilization and disinfection,11.080.10,Sterilizing equipment,ISO 15883-2:2006,"Washer-disinfectors — Part 2: Requirements and tests for washer-disinfectors employing thermal disinfection for surgical instruments, anaesthetic equipment, bowls, dishes, receivers, utensils, glassware, etc.","ISO 15883-2:2006 specifies particular requirements for washer disinfectors (WD) that are intended for use for the cleaning and thermal disinfection, in a single operating cycle, of re-usable medical devices such as surgical instruments, anaesthetic equipment, bowls, dishes and receivers, utensils and glassware.
The requirements in ISO 15883-2:2006 apply in addition to the general requirements specified in ISO 15883-1.
The specified performance requirements of ISO 15883-2:2006 may not ensure the inactivation or removal of the causative agent(s) (prion protein) of transmissible spongiform encephalopathies.",Published,2006-04,1,10,ISO/TC 198 Sterilization of health care products,11.080.10 Sterilizing equipment
11.080,Sterilization and disinfection,11.080.10,Sterilizing equipment,ISO/DIS 15883-2,Washer-disinfectors — Part 2: Requirements and tests for washer-disinfectors employing thermal disinfection for critical and semi-critical medical devices,"ISO 15883-2:2006 specifies particular requirements for washer disinfectors (WD) that are intended for use for the cleaning and thermal disinfection, in a single operating cycle, of re-usable medical devices such as surgical instruments, anaesthetic equipment, bowls, dishes and receivers, utensils and glassware.
The requirements in ISO 15883-2:2006 apply in addition to the general requirements specified in ISO 15883-1.
The specified performance requirements of ISO 15883-2:2006 may not ensure the inactivation or removal of the causative agent(s) (prion protein) of transmissible spongiform encephalopathies.",Under development         You can help develop this draft international standard by contacting your national member,,2,19,ISO/TC 198 Sterilization of health care products,11.080.10 Sterilizing equipment
11.080,Sterilization and disinfection,11.080.10,Sterilizing equipment,ISO 15883-3:2006,Washer-disinfectors — Part 3: Requirements and tests for washer-disinfectors employing thermal disinfection for human waste containers,"ISO 15883-3:2006 specifies particular requirements for washer-disinfectors (WD) that are intended to be used for emptying, flushing, cleaning and thermal disinfection of containers used to hold human waste for disposal by one operating cycle.
ISO 15883-3:2006 is to be applied in conjunction with ISO 15883-1.",Published,2006-04,1,11,ISO/TC 198 Sterilization of health care products,11.080.10 Sterilizing equipment
11.080,Sterilization and disinfection,11.080.10,Sterilizing equipment,ISO/DIS 15883-3,Washer-disinfectors — Part 3: Requirements and tests for washer-disinfectors employing thermal disinfection for human waste containers,"ISO 15883-3:2006 specifies particular requirements for washer-disinfectors (WD) that are intended to be used for emptying, flushing, cleaning and thermal disinfection of containers used to hold human waste for disposal by one operating cycle.
ISO 15883-3:2006 is to be applied in conjunction with ISO 15883-1.",Under development         You can help develop this draft international standard by contacting your national member,,2,16,ISO/TC 198 Sterilization of health care products,11.080.10 Sterilizing equipment
11.080,Sterilization and disinfection,11.080.10,Sterilizing equipment,ISO 15883-4:2008,Washer-disinfectors — Part 4: Requirements and tests for washer-disinfectors employing chemical disinfection for thermolabile endoscopes,"ISO 15883-4:2008 specifies the particular requirements, including performance, for washer-disinfectors (WDs) that are intended to be used for cleaning and chemical disinfection of thermolabile endoscopes.
ISO 15883-4:2008 also specifies the performance requirements for the cleaning and disinfection of the washer-disinfector and its components and accessories which may be required to achieve the necessary performance.
The methods, instrumentation and instructions required for type testing, works testing, validation (installation, operational and performance qualification on first installation), routine control and monitoring and re-validation, periodically and after essential repairs, are also specified.
ISO 15883-4:2008 can be used by prospective purchasers and manufacturers as the basis of agreement on the specification of WD manufacturers of endoscopes, cleaning products, disinfecting products, and also by users.",Withdrawn,2008-05,1,49,ISO/TC 198 Sterilization of health care products,11.080.10 Sterilizing equipment
11.080,Sterilization and disinfection,11.080.10,Sterilizing equipment,ISO 15883-4:2018,Washer-disinfectors — Part 4: Requirements and tests for washer-disinfectors employing chemical disinfection for thermolabile endoscopes,"This document specifies the particular requirements, including performance criteria for washer-disinfectors (WD) that are intended to be used for cleaning and chemical disinfection of thermolabile endoscopes.
This document also specifies the performance requirements for the cleaning and disinfection of the washer-disinfector and its components and accessories which can be required to achieve the necessary performance criteria.
The methods, instrumentation and instructions required for type testing, works testing, validation (installation, operational and performance qualification on first installation), routine control and monitoring, and requalification of WD periodically and after essential repairs, are also specified.
NOTE 1    In addition, Annex A gives guidance on an appropriate division of responsibility for the range of activities covered by this document.
NOTE 2    WD complying with this document can also be used for cleaning and chemical disinfection of other thermolabile re-usable medical devices for which the device manufacturer has recommended and validated this method of disinfection.
WD complying with the requirements of this document are not intended for cleaning and disinfection of medical devices, including endoscopic accessories, which are heat stable and can be disinfected or sterilized by thermal methods (see ISO 15883-1:2006+Amd 1:2014, 4.1.5).
The specified performance requirements of this document do not ensure the inactivation or removal of the causative agent(s) (prion protein) of transmissible spongiform encephalopathies.
NOTE 3    If it is considered that prion protein might be present, particular care is needed in the choice of cleaning agents and disinfectants to ensure that the chemicals used do not react with the prion protein and/or other protein in a manner that can inhibit its removal or inactivation from the load or washer-disinfector.
NOTE 4    This document can be used by prospective purchasers and manufacturers as the basis of agreement on the specification of the WD, manufacturers of endoscopes, cleaning products, and disinfecting products.",Published,2018-11,2,81,ISO/TC 198 Sterilization of health care products,11.080.10 Sterilizing equipment
11.080,Sterilization and disinfection,11.080.10,Sterilizing equipment,ISO 15883-5:2021,Washer-disinfectors — Part 5: Performance requirements and test method criteria for demonstrating cleaning efficacy,"This document specifies procedures and test methods used to demonstrate the cleaning efficacy of washer-disinfectors (WD) and their accessories intended to be used for cleaning of reusable medical devices.
NOTE 1   The requirements can be used for washer-disinfectors intended for use with other articles used in the context of medical, dental, laboratory, pharmaceutical and veterinary practice.
NOTE 2   This document does not apply to the activities to be performed by the manufacturers of reusable medical devices.",Published,2021-07,1,59,ISO/TC 198 Sterilization of health care products,11.080.10 Sterilizing equipment
