is_deleted,title,description,abstract,status,publication_date,edition,no_of_pages,technical_committee,ics
False,ISO 11737-1:2018,Sterilization of health care products — Microbiological methods — Part 1: Determination of a population of microorganisms on products,"ISO 11737-1:2018 specifies requirements and provides guidance on the enumeration and microbial characterization of the population of viable microorganisms on or in a health care product, component, raw material or package.
NOTE 1    The nature and extent of microbial characterization is dependent on the intended use of bioburden data.
NOTE 2    See Annex A for guidance on Clauses 1 to 9.
ISO 11737-1:2018 does not apply to the enumeration or identification of viral, prion or protozoan contaminants. This includes the removal and detection of the causative agents of spongiform encephalopathies, such as scrapie, bovine spongiform encephalopathy and Creutzfeldt-Jakob disease.
NOTE 3    Guidance on inactivating viruses and prions can be found in ISO 22442‑3, ICH Q5A(R1) and ISO 13022.
ISO 11737-1:2018 does not apply to the microbiological monitoring of the environment in which health care products are manufactured.",Published,2018-01,3,48,ISO/TC 198 Sterilization of health care products,07.100.10 Medical microbiology                 11.080.01 Sterilization and disinfection in general
False,ISO 11737-2:2009,"Sterilization of medical devices — Microbiological methods — Part 2: Tests of sterility performed in the definition, validation and maintenance of a sterilization process","ISO 11737-2:2009 specifies the general criteria for tests of sterility on medical devices that have been exposed to a treatment with the sterilizing agent reduced relative to that anticipated to be used in routine sterilization processing. These tests are intended to be performed when defining, validating or maintaining a sterilization process.",Withdrawn,2009-11,2,16,ISO/TC 198 Sterilization of health care products,07.100.10 Medical microbiology                 11.080.01 Sterilization and disinfection in general
False,ISO 11737-2:2019,"Sterilization of health care products — Microbiological methods — Part 2: Tests of sterility performed in the definition, validation and maintenance of a sterilization process","1.1    This document specifies the general criteria for tests of sterility on medical devices that have been exposed to a treatment with the sterilizing agent which has been reduced relative to that anticipated to be used in routine sterilization processing. These tests are intended to be performed when defining, validating or maintaining a sterilization process.
1.2    This document is not applicable to:
a)    sterility testing for routine release of product that has been subjected to a sterilization process,
b)    performing a test for sterility (see 3.12),
NOTE 1    The performance of a) or b) is not a requirement of ISO 11135, ISO 11137-1, ISO 11137-2, ISO 14160, ISO 14937, ISO 17665-1 or ISO 20857.
c)    test of sterility or test for sterility for demonstration of product shelf life, stability and/or package integrity, and
d)    culturing of biological indicators or inoculated products.
NOTE 2    Guidance on culturing biological indicators is included in ISO 11138-7.",Published,2019-12,3,16,ISO/TC 198 Sterilization of health care products,07.100.10 Medical microbiology                 11.080.01 Sterilization and disinfection in general
False,ISO 17664-1:2021,Processing of health care products — Information to be provided by the medical device manufacturer for the processing of medical devices — Part 1: Critical and semi-critical medical devices,"This document specifies requirements for the information to be provided by the medical device manufacturer for the processing of critical or semi-critical medical devices (i.e. a medical device that enters normally sterile parts of the human body or a medical device that comes into contact with mucous membranes or non-intact skin) or medical devices that are intended to be sterilized.
This includes information for processing prior to use or reuse of the medical device.
Processing instructions are not defined in this document. Rather, this document specifies requirements to assist manufacturers of medical devices in providing detailed processing instructions that consist of the following activities, where applicable:
a) initial treatment at the point of use;
b) preparation before cleaning;
c) cleaning;
d) disinfection;
e) drying;
f) inspection and maintenance;
g) packaging;
h) sterilization;
i) storage;
j) transportation.
This document excludes processing of the following:
—    non-critical medical devices unless they are intended to be sterilized;
—    textile devices used in patient draping systems or surgical clothing;
—    medical devices specified by the manufacturer for single use only and supplied ready for use.
NOTE       See ISO 17664-2:2021, Annex E, for further guidance on the application of the ISO 17664 series to a medical device.",Published,2021-07,1,23,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO 17664-2:2021,Processing of health care products — Information to be provided by the medical device manufacturer for the processing of medical devices — Part 2: Non-critical medical devices,"This document specifies requirements for the information to be provided by the medical device manufacturer for the processing of non-critical medical devices not intended to be sterilized (i.e. a medical device that is intended to come into contact with intact skin only or a medical device not intended for direct patient contact).
This includes information for processing prior to use or reuse of the medical device.
Processing instructions are not defined in this document. Rather, this document specifies requirements to assist manufacturers of medical devices in providing detailed processing instructions that consist of the following activities, where applicable:
a)   preparation before processing;
b)   cleaning;
c)   disinfection;
d)   drying;
e)   inspection and maintenance;
f)    packaging;
g)   storage;
h)   transportation.
This document excludes processing of:
1)   critical and semi-critical medical devices;
2)   medical devices intended to be sterilized;
3)   textile medical devices used in patient draping systems or surgical clothing;
4)   medical devices specified by the manufacturer for single use only and supplied ready for use.
NOTE     See Annex E for further guidance on the application of the ISO 17664 series to a medical device.",Published,2021-02,1,24,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO 17664:2004,Sterilization of medical devices — Information to be provided by the manufacturer for the processing of resterilizable medical devices,"ISO 17664:2004 specifies the information to be provided by the medical device manufacturer on the processing of medical devices claimed to be resterilizable, and medical devices intended to be sterilized by the processor. ISO 17664:2004 specifies requirements for the information to be provided by the medical device manufacturer, so that the medical device can be processed safely and will continue to meet its performance specification.
Requirements are specified for processing that consists of all or some of the following activities: 
a) preparation at the point of use;
b) preparation, cleaning, disinfection;
c) drying;
d) inspection, maintenance and testing;
e) packaging;
f) sterilization;
g) storage.
When providing instructions for these activities, medical device manufacturers are expected to be aware of the training and knowledge of procedures, and of the processing equipment available to the persons likely to be responsible for processing. It is likely that some processing procedures will be generic and well known and will use equipment and consumables conforming to recognized standards. In this case, a reference in the instructions is all that is required. For those medical devices where instructions for use are not required to accompany the medical device, other means of communicating the information can be used, e.g. user manuals, symbols or wall charts supplied separately.
The principles of ISO 17664:2004 may be applied when considering the information to be supplied with medical devices which only require disinfection prior to re-use. 
ISO 17664:2004 is not applicable to textile devices used in patient-draping systems or surgical clothing.",Withdrawn,2004-03,1,18,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO/TS 5111:2022,"Guidance on quality of water for sterilizers, sterilization and washer-disinfectors for health care products","This document provides guidance on the quality of water for sterilizers, sterilization and washer-disinfectors (WDs) used to process health care products.
This document covers the quality of water used directly for cleaning, thermal and chemical disinfection, rinsing and sterilization, as feedwater for the generation of steam, as a service to a sterilizer or WD, or as a cooling agent.
This document provides specific guidance on:
—     water quality for different applications;
—     water treatment systems;
—     water distribution and storage;
—     monitoring and control of water quality;
—     investigating out of specification results.
NOTE            Guidance given in this document can also be applied to specifications for the quality of water required for manual cleaning or disinfection of medical devices (see the ISO 17664 series).
This document does not supersede or modify requirements or test methods of published standards applying to:
—     development, validation or routine control and monitoring of a sterilization process;
—     sterilizers; 
—     WDs.
This document does not specify requirements for water treatment systems (see, for example, standards for particular sterilizers or WDs).
This document does not specify the water quality for manufacturing pharmaceuticals, cell-based health care products or medical devices.
This document does not provide guidance on the attributes of steam quality (see, for example, EN 285).",Published,2022-12,1,39,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO 11134:1994,Sterilization of health care products — Requirements for validation and routine control — Industrial moist heat sterilization,"Specifies requirements for the use of moist heat in sterilization process development, validation of the sterilization process and control of routine sterilization. Covers all moist heat processes, including saturated steam and air-steam mixtures, and applies to all industrial manufacturers and all others who perform contract moist heat sterilization. Although moist heat sterilization in non-industrial health care facilities is not specifically covered, the principles outlined may be useful to the user of moist heat sterilization in these facilities.",Withdrawn,1994-01,1,22,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO 11135-1:2007,"Sterilization of health care products — Ethylene oxide — Part 1: Requirements for development, validation and routine control of a sterilization process for medical devices","ISO 11135-1:2007 specifies requirements for the development, validation and routine control of an ethylene oxide sterilization process for medical devices.
Sterilization processes validated and controlled in accordance with the requirements of ISO 11135-1:2007 are not assumed to be effective in inactivating the causative agents of spongiform encephalopathies such as scrapie, bovine spongiform encephalopathy and Creutzfeld Jacob disease. Specific recommendations have been produced in particular countries for the processing of materials potentially contaminated with these agents.",Withdrawn,2007-05,1,41,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO/TS 11135-2:2008,Sterilization of health care products — Ethylene oxide — Part 2: Guidance on the application of ISO 11135-1,"ISO/TS 11135-2:2008 provides guidance for the requirements in ISO 11135-1:2007. It does not repeat the requirements and is not intended to be used in isolation. The exclusions in ISO 11135-1 apply also to this Technical Specification.
This guidance document is intended for people who have a basic knowledge of the principles of EO sterilization but may need help in determining how to best meet the requirements contained in ISO 11135-1. This document is not intended for people lacking a basic knowledge of the principles of EO sterilization.",Withdrawn,2008-08,1,39,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO/TS 11135-2:2008/Cor 1:2009,Sterilization of health care products — Ethylene oxide — Part 2: Guidance on the application of ISO 11135-1 — Technical Corrigendum 1,,Withdrawn,2009-02,1,1,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO 11135:1994,Medical devices — Validation and routine control of ethylene oxide sterilization,"Establishes requirements and guidance. Particular attention is drawn to the need for specific testing for safety, quality and efficacy, possibly exceeding the general requirements, which may be necessary for a specific product. Attention is drawn to the existence in some countries of regulations laying down safety requirements for handling ethylene oxide and for premises in which it is used as well as of regulations laying down limits for the level of ethylene oxide residues within medical devices and products.",Withdrawn,1994-01,1,24,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO 11135:1994/Cor 1:1994,Medical devices — Validation and routine control of ethylene oxide sterilization — Technical Corrigendum 1,Replaces the penultimate equation on page 20 by a new equation.,Withdrawn,1994-10,1,1,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO 11135:2014,"Sterilization of health-care products — Ethylene oxide — Requirements for the development, validation and routine control of a sterilization process for medical devices","ISO 11135:2014 specifies requirements for the development, validation and routine control of an ethylene oxide sterilization process for medical devices in both the industrial and health care facility settings, and it acknowledges the similarities and differences between the two applications.",Published,2014-07,2,78,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO 11135:2014/Amd 1:2018,"Sterilization of health-care products — Ethylene oxide — Requirements for the development, validation and routine control of a sterilization process for medical devices — Amendment 1: Revision of Annex E, Single batch release",,Published,2018-10,2,4,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO/DIS 11135,"Sterilization of health care products — Ethylene oxide — Requirements for the development, validation and routine control of a sterilization process for medical devices",,Under development         You can help develop this draft international standard by contacting your national member,,3,120,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO 11137:1995/Amd 1:2001,Sterilization of health care products — Requirements for validation and routine control — Radiation sterilization — Amendment 1: Selection of items for dose setting,,Withdrawn,2001-12,1,2,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
